               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  71,            0.044035,             0.01068,            0.026332,             0.56583,             0.77811,             0.76342,             0.36083,             0.02606,           0.0059054,            0.017482,            0.008614,            0.008614,            0.008614
                  72,              0.0478,            0.013045,            0.027312,             0.56583,             0.77811,             0.76342,             0.36083,             0.02606,           0.0059054,            0.017482,           0.0085942,           0.0085942,           0.0085942
                  73,            0.045738,            0.011575,            0.028679,             0.49222,             0.83395,             0.71327,             0.47561,            0.020284,           0.0056454,            0.017351,           0.0085744,           0.0085744,           0.0085744
                  74,            0.042974,            0.010847,            0.027489,             0.70962,             0.81566,              0.8488,             0.54165,            0.027187,           0.0055722,            0.017133,           0.0085546,           0.0085546,           0.0085546
                  75,            0.048697,            0.010332,            0.027439,             0.39852,             0.86842,             0.62532,             0.31866,            0.029005,           0.0060516,             0.01703,           0.0085348,           0.0085348,           0.0085348
                  76,            0.048743,            0.010794,            0.025892,             0.39852,             0.86842,             0.62532,             0.31866,            0.029005,           0.0060516,             0.01703,            0.008515,            0.008515,            0.008515
                  77,            0.047275,            0.010194,            0.026482,             0.41254,             0.86842,             0.60162,             0.32513,             0.03136,           0.0058582,            0.017242,           0.0084952,           0.0084952,           0.0084952
                  78,            0.050523,           0.0094772,             0.02801,             0.73336,             0.77068,             0.80713,             0.50439,            0.019817,           0.0056122,            0.016546,           0.0084754,           0.0084754,           0.0084754
                  79,            0.038248,            0.010437,            0.024362,             0.88219,             0.75093,             0.88499,             0.49277,             0.03269,           0.0060833,            0.016618,           0.0084556,           0.0084556,           0.0084556
                  80,            0.055195,           0.0088577,            0.028953,             0.88219,             0.75093,             0.88499,             0.49277,             0.03269,           0.0060833,            0.016618,           0.0084358,           0.0084358,           0.0084358
                  81,            0.053391,            0.011255,            0.024892,             0.84699,             0.80301,             0.89026,             0.64158,             0.03224,           0.0061092,            0.016391,            0.008416,            0.008416,            0.008416
                  82,             0.05583,            0.010806,            0.026789,             0.63014,              0.8183,             0.66133,             0.47242,            0.028894,           0.0058901,            0.016217,           0.0083962,           0.0083962,           0.0083962
                  83,            0.048075,            0.011429,            0.024961,             0.84108,             0.91599,             0.87736,             0.61512,            0.023173,           0.0058451,            0.015873,           0.0083764,           0.0083764,           0.0083764
                  84,             0.04751,             0.01054,            0.026008,             0.84108,             0.91599,             0.87736,             0.61512,            0.023173,           0.0058451,            0.015873,           0.0083566,           0.0083566,           0.0083566
                  85,            0.040831,            0.012286,            0.024798,             0.72558,             0.92356,               0.845,             0.59758,             0.02045,            0.005812,            0.015589,           0.0083368,           0.0083368,           0.0083368
                  86,            0.036912,            0.010863,            0.024179,             0.89287,             0.87556,             0.91157,             0.52067,            0.018612,           0.0056014,             0.01534,            0.008317,            0.008317,            0.008317
                  87,            0.038048,            0.011973,            0.025466,             0.73814,             0.79036,             0.84739,             0.51744,            0.021419,           0.0056516,            0.015513,           0.0082972,           0.0082972,           0.0082972
                  88,            0.042886,            0.010319,            0.023368,             0.73814,             0.79036,             0.84739,             0.51744,            0.021419,           0.0056516,            0.015513,           0.0082774,           0.0082774,           0.0082774
                  89,            0.040201,            0.011017,            0.023654,             0.71831,             0.85539,             0.91293,             0.67322,            0.016992,           0.0056978,             0.01623,           0.0082576,           0.0082576,           0.0082576
                  90,            0.039111,            0.010325,            0.025231,              0.7941,             0.77879,             0.92658,             0.51086,            0.025849,           0.0056724,            0.015788,           0.0082378,           0.0082378,           0.0082378
                  91,            0.047142,           0.0098085,            0.027414,              0.9065,             0.87093,              0.9333,             0.61341,            0.019961,            0.005545,            0.014297,            0.008218,            0.008218,            0.008218
                  92,            0.048658,           0.0097119,            0.025765,              0.9065,             0.87093,              0.9333,             0.61341,            0.019961,            0.005545,            0.014297,           0.0081982,           0.0081982,           0.0081982
                  93,            0.034892,             0.01006,            0.022791,             0.90044,             0.90191,             0.94671,             0.76049,            0.014504,           0.0053208,            0.013805,           0.0081784,           0.0081784,           0.0081784
                  94,            0.034464,           0.0098844,            0.023131,             0.90824,              0.8573,             0.94567,             0.68383,            0.020135,           0.0054281,            0.014224,           0.0081586,           0.0081586,           0.0081586
                  95,            0.036621,            0.010373,            0.021943,             0.74996,             0.73874,             0.80636,             0.49276,            0.027834,           0.0056555,            0.015006,           0.0081388,           0.0081388,           0.0081388
                  96,            0.047951,           0.0096533,            0.022969,             0.74996,             0.73874,             0.80636,             0.49276,            0.027834,           0.0056555,            0.015006,            0.008119,            0.008119,            0.008119
                  97,            0.038289,           0.0099586,            0.020804,              0.8922,             0.73159,             0.85662,             0.58149,            0.021909,           0.0052146,            0.015092,           0.0080992,           0.0080992,           0.0080992
                  98,             0.03485,           0.0095466,             0.02398,             0.70817,             0.76566,             0.85514,             0.59073,            0.020325,           0.0053102,            0.013402,           0.0080794,           0.0080794,           0.0080794
                  99,            0.036415,            0.011063,            0.020041,              0.6219,             0.75439,             0.84956,             0.46586,            0.023613,            0.005417,            0.012077,           0.0080596,           0.0080596,           0.0080596
                 100,            0.050369,            0.008045,            0.020922,              0.6219,             0.75439,             0.84956,             0.46586,            0.023613,            0.005417,            0.012077,           0.0080398,           0.0080398,           0.0080398
                 101,            0.045223,           0.0096245,             0.02438,              0.6118,             0.76115,             0.87536,             0.59338,            0.017807,           0.0052027,            0.011874,             0.00802,             0.00802,             0.00802
                 102,            0.040734,            0.010779,            0.020235,             0.57346,              0.7807,             0.84514,             0.46373,            0.023256,           0.0053817,            0.011764,           0.0080002,           0.0080002,           0.0080002
                 103,            0.043048,           0.0095096,            0.023897,             0.84242,             0.91362,              0.9397,             0.53954,            0.023554,           0.0053872,            0.011541,           0.0079804,           0.0079804,           0.0079804
                 104,            0.042869,           0.0086679,             0.02356,             0.84242,             0.91362,              0.9397,             0.53954,            0.023554,           0.0053872,            0.011541,           0.0079606,           0.0079606,           0.0079606
                 105,             0.03835,           0.0093201,            0.023172,             0.75659,             0.87093,             0.85836,             0.64776,            0.017221,            0.005028,            0.011653,           0.0079408,           0.0079408,           0.0079408
                 106,            0.037495,           0.0087024,             0.02159,             0.80016,              0.8183,             0.89623,             0.60305,            0.020181,           0.0048231,            0.011977,            0.007921,            0.007921,            0.007921
                 107,            0.035082,            0.008832,             0.01931,             0.43011,             0.92105,             0.66228,             0.44419,            0.022694,           0.0050592,            0.014779,           0.0079012,           0.0079012,           0.0079012
                 108,            0.044014,            0.009219,            0.021528,             0.43011,             0.92105,             0.66228,             0.44419,            0.022694,           0.0050592,            0.014779,           0.0078814,           0.0078814,           0.0078814
                 109,            0.039776,            0.010674,            0.019589,             0.39307,             0.90582,              0.6474,             0.47192,             0.01987,           0.0049236,            0.016184,           0.0078616,           0.0078616,           0.0078616
                 110,            0.037736,            0.010039,            0.020823,             0.69902,             0.85506,             0.91932,              0.7272,            0.018859,           0.0049359,            0.019889,           0.0078418,           0.0078418,           0.0078418
                 111,             0.03109,           0.0096847,             0.02307,              0.7858,             0.93692,             0.93802,             0.65283,            0.017555,           0.0047522,            0.013643,            0.007822,            0.007822,            0.007822
                 112,            0.036505,           0.0089274,            0.020581,              0.7858,             0.93692,             0.93802,             0.65283,            0.017555,           0.0047522,            0.013643,           0.0078022,           0.0078022,           0.0078022
                 113,            0.038432,           0.0082849,            0.018945,              0.9041,             0.91732,             0.94506,             0.69615,            0.014182,           0.0045237,            0.011416,           0.0077824,           0.0077824,           0.0077824
                 114,            0.041466,            0.009173,            0.021703,             0.59968,             0.91223,             0.91162,             0.47738,            0.026247,           0.0051203,            0.014483,           0.0077626,           0.0077626,           0.0077626
                 115,            0.036704,           0.0085117,            0.021238,             0.59273,             0.89474,             0.84066,             0.69265,            0.017117,           0.0045128,            0.015471,           0.0077428,           0.0077428,           0.0077428
                 116,            0.033245,           0.0085212,            0.018254,             0.59273,             0.89474,             0.84066,             0.69265,            0.017117,           0.0045128,            0.015471,            0.007723,            0.007723,            0.007723
                 117,            0.035655,           0.0096931,            0.018429,             0.63875,             0.91824,             0.86554,             0.70386,            0.015509,           0.0044514,            0.014421,           0.0077032,           0.0077032,           0.0077032
                 118,            0.041807,           0.0085009,            0.020821,             0.64678,             0.89474,             0.87664,             0.71797,             0.01528,           0.0045311,            0.014898,           0.0076834,           0.0076834,           0.0076834
                 119,            0.034435,           0.0091825,            0.020285,             0.49453,             0.88775,             0.87075,             0.53709,            0.027537,           0.0054993,            0.015133,           0.0076636,           0.0076636,           0.0076636
                 120,            0.041763,             0.01015,            0.018009,             0.49453,             0.88775,             0.87075,             0.53709,            0.027537,           0.0054993,            0.015133,           0.0076438,           0.0076438,           0.0076438
                 121,             0.03875,           0.0090655,            0.019807,             0.61538,             0.89385,             0.94246,             0.67342,            0.020691,           0.0051164,            0.013444,            0.007624,            0.007624,            0.007624
                 122,            0.037561,           0.0089828,            0.017815,             0.86785,             0.87093,              0.9254,             0.44059,            0.023758,           0.0050133,            0.010357,           0.0076042,           0.0076042,           0.0076042
                 123,            0.044363,            0.008507,            0.019955,             0.53295,             0.92685,             0.80058,             0.50759,             0.02074,           0.0047191,           0.0082283,           0.0075844,           0.0075844,           0.0075844
                 124,            0.037497,           0.0083547,            0.016816,             0.53295,             0.92685,             0.80058,             0.50759,             0.02074,           0.0047191,           0.0082283,           0.0075646,           0.0075646,           0.0075646
                 125,            0.033934,           0.0092968,            0.019831,               0.733,             0.94987,              0.8445,             0.61007,            0.017193,            0.004699,            0.007911,           0.0075448,           0.0075448,           0.0075448
                 126,            0.031315,           0.0095212,            0.021232,             0.66166,             0.96761,             0.89065,             0.57963,            0.016879,           0.0047739,             0.01084,            0.007525,            0.007525,            0.007525
                 127,             0.03323,           0.0081196,            0.018802,              0.6967,             0.80952,              0.9196,             0.58494,            0.024232,           0.0052833,            0.017734,           0.0075052,           0.0075052,           0.0075052
                 128,            0.040515,           0.0086583,            0.020582,              0.6967,             0.80952,              0.9196,             0.58494,            0.024232,           0.0052833,            0.017734,           0.0074854,           0.0074854,           0.0074854
                 129,            0.038164,           0.0077462,            0.024655,             0.63389,             0.80952,             0.87189,             0.55323,            0.020913,           0.0051844,            0.022021,           0.0074656,           0.0074656,           0.0074656
                 130,            0.035085,           0.0087067,            0.022454,             0.86575,             0.92945,             0.94642,             0.65954,            0.016759,           0.0047279,           0.0081625,           0.0074458,           0.0074458,           0.0074458
                 131,            0.038281,           0.0086628,            0.019514,              0.6934,              0.8183,             0.89241,             0.57092,            0.021904,           0.0049927,            0.009236,            0.007426,            0.007426,            0.007426
                 132,            0.033462,            0.009181,             0.01939,              0.6934,              0.8183,             0.89241,             0.57092,            0.021904,           0.0049927,            0.009236,           0.0074062,           0.0074062,           0.0074062
                 133,            0.034258,           0.0080452,            0.014491,             0.88265,             0.91966,             0.94539,             0.69331,            0.016828,           0.0046829,            0.010434,           0.0073864,           0.0073864,           0.0073864
                 134,             0.02999,            0.010031,             0.01761,             0.90939,             0.87093,             0.95958,             0.71091,            0.017879,           0.0047214,            0.010563,           0.0073666,           0.0073666,           0.0073666
                 135,            0.035451,           0.0082433,             0.01927,              0.9284,             0.95041,             0.96921,             0.72643,              0.0159,           0.0046981,           0.0084763,           0.0073468,           0.0073468,           0.0073468
                 136,            0.038159,           0.0093687,            0.017494,              0.9284,             0.95041,             0.96921,             0.72643,              0.0159,           0.0046981,           0.0084763,            0.007327,            0.007327,            0.007327
                 137,            0.032432,           0.0072766,            0.016753,              0.9155,             0.92853,             0.95097,             0.79047,            0.013342,           0.0045714,            0.008199,           0.0073072,           0.0073072,           0.0073072
                 138,             0.03616,            0.009486,            0.017248,              0.8949,             0.92607,             0.95273,             0.51763,            0.024242,           0.0051689,           0.0084582,           0.0072874,           0.0072874,           0.0072874
                 139,            0.045116,           0.0094609,            0.020126,             0.91653,             0.92043,             0.94792,             0.66666,            0.014173,           0.0049959,           0.0089949,           0.0072676,           0.0072676,           0.0072676
                 140,            0.031408,            0.009272,            0.017975,             0.91653,             0.92043,             0.94792,             0.66666,            0.014173,           0.0049959,           0.0089949,           0.0072478,           0.0072478,           0.0072478
                 141,            0.030284,           0.0078398,             0.01829,             0.90776,             0.92607,             0.95529,             0.71989,            0.015854,           0.0059025,            0.010143,            0.007228,            0.007228,            0.007228
                 142,            0.027331,             0.00842,            0.016846,             0.91506,             0.92607,             0.94749,             0.67085,             0.01398,           0.0055506,            0.010063,           0.0072082,           0.0072082,           0.0072082
                 143,            0.032995,           0.0087895,            0.021785,             0.89703,             0.94408,              0.9609,             0.41578,            0.027852,            0.005836,            0.010783,           0.0071884,           0.0071884,           0.0071884
                 144,            0.038558,           0.0088138,            0.017525,             0.89703,             0.94408,              0.9609,             0.41578,            0.027852,            0.005836,            0.010783,           0.0071686,           0.0071686,           0.0071686
                 145,            0.035605,           0.0092166,            0.020506,              0.9051,              0.9579,             0.96423,             0.46806,            0.026417,           0.0057452,            0.010855,           0.0071488,           0.0071488,           0.0071488
                 146,             0.03445,           0.0073125,            0.021254,             0.88641,             0.97368,             0.96322,             0.61749,            0.015037,           0.0052094,            0.010308,            0.007129,            0.007129,            0.007129
                 147,            0.034254,           0.0090897,            0.018781,             0.90512,             0.86604,             0.95192,             0.58812,            0.017013,            0.004704,           0.0098977,           0.0071092,           0.0071092,           0.0071092
                 148,            0.027378,           0.0085416,            0.015896,             0.90512,             0.86604,             0.95192,             0.58812,            0.017013,            0.004704,           0.0098977,           0.0070894,           0.0070894,           0.0070894
                 149,            0.025143,           0.0093836,            0.019206,             0.90804,             0.92907,             0.97307,             0.81045,            0.012789,           0.0046863,           0.0089358,           0.0070696,           0.0070696,           0.0070696
                 150,            0.024922,           0.0086379,            0.017872,             0.93795,             0.93708,             0.97549,             0.74899,            0.013544,           0.0047297,           0.0084077,           0.0070498,           0.0070498,           0.0070498
                 151,            0.026209,           0.0082997,            0.015732,             0.88776,             0.90582,             0.96956,             0.74878,            0.014961,           0.0045424,            0.009172,             0.00703,             0.00703,             0.00703
                 152,              0.0346,             0.01007,            0.020977,             0.88776,             0.90582,             0.96956,             0.74878,            0.014961,           0.0045424,            0.009172,           0.0070102,           0.0070102,           0.0070102
                 153,            0.026903,           0.0084089,            0.017709,             0.88888,             0.90567,             0.96156,             0.73531,            0.013091,             0.00441,           0.0096727,           0.0069904,           0.0069904,           0.0069904
